"";"species_phylacine";"hedge";"ledge";"hed";"hedge_rank";"ledge_rank";"hed_rank";"ED";"ES";"QEbased";"2Hbased";"termBL";"meanD";"Order.1.2";"Family.1.2";"Genus.1.2";"Species.1.2";"Terrestrial";"Marine";"Freshwater";"Aerial";"Life.Habit.Method";"Life.Habit.Source";"Mass.g";"Mass.Method";"Mass.Source";"Mass.Comparison";"Mass.Comparison.Source";"Island.Endemicity";"IUCN.Status.1.2";"Added.IUCN.Status.1.2";"Diet.Plant";"Diet.Vertebrate";"Diet.Invertebrate";"Diet.Method";"Diet.Source";"range_size";"species_currentIUCN"
"660";"Cercopithecus_cephus";0,000136139000000035;2,7226438610007;2,7227800000007;3473;2100;2365;3,80471899547444;3,88752968360901;5,56557090986333e-06;6,97760585334402e-06;2,72278;91,0911011181616;"Primates";"Cercopithecidae";"Cercopithecus";"cephus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";3485;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";70;10;20;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1061610,00747731;"Cercopithecus cephus"
"661";"Cercopithecus_denti";0,000104271158550006;2,08531889984158;2,08542317100013;3850,5;2671,5;2956,5;3,70405598196281;2,95615939551353;4,75145744042692e-06;5,97330180177309e-06;2,08538;91,0918172663351;"Primates";"Cercopithecidae";"Cercopithecus";"denti";1;0;0;0;"Imputed";"PHYLACINE 1.2";4050;"Reported";"Wilson, D. E., et al., editors. 2013. Handbook of the Mammals of the World: 3. Primates. First edition. Lynx Edicions, Barcelona.";NA;NA;"Occurs on mainland";"LC";"No";70;10;20;"Imputed 000 Species";"PHYLACINE 1.2";605303,951631797;"Cercopithecus denti"
"662";"Cercopithecus_diana";0,17886569;3,39844811;3,5773138;1033;1649;1787;4,47529523206062;4,16854505081177;9,25953092656352e-06;1,15403026159904e-05;2,33361;91,0926857408678;"Primates";"Cercopithecidae";"Cercopithecus";"diana";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";4175;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"VU";"No";60;10;30;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";363182,370979078;"Cercopithecus diana"
"663";"Cercopithecus_dryas";3,307601477585;0,102296952915;3,4098984305;148;5338;1879;5,58254082152332;5,49645950012207;1,89134935827559e-05;2,35390164935651e-05;3,29026;91,0964338998457;"Primates";"Cercopithecidae";"Cercopithecus";"dryas";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";3075;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"CR";"No";70;10;20;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";18624,7369732861;"Cercopithecus dryas"
"664";"Cercopithecus_erythrogaster";0,0629078894041645;1,19524989867913;1,25815778808329;1340;3813;4005;2,84954868292786;1,85824284717083;2,3347482168805e-06;2,92879206838544e-06;1,25814;91,0905387137712;"Primates";"Cercopithecidae";"Cercopithecus";"erythrogaster";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";2500;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"VU";"No";70;10;20;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";167622,632759575;"Cercopithecus erythrogaster"
"665";"Cercopithecus_erythrotis";0,110459750000245;2,09873525000466;2,2091950000049;1172;2656;2832;3,40174373553983;3,07367401563644;4,20506761088602e-06;5,26544415647807e-06;2,198195;91,0908734831075;"Primates";"Cercopithecidae";"Cercopithecus";"erythrotis";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";3918,3;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"VU";"No";70;10;20;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";121060,790326359;"Cercopithecus erythrotis"
"666";"Cercopithecus_hamlyni";0,310739;5,904041;6,21478;873;808;859;6,79261036625467;7,75201728149414;2,17504260492147e-05;2,70706351797115e-05;6,21478;91,0948086580347;"Primates";"Cercopithecidae";"Cercopithecus";"hamlyni";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";6875;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"VU";"No";70;10;20;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";456306,055845509;"Cercopithecus hamlyni"
"667";"Cercopithecus_lowei";7,1250328937505e-05;1,42493532842116;1,4250065787501;4357,5;3456,5;3753,5;3,43802871709583;2,67297872168541;4,09978081468124e-06;5,16104799666025e-06;1,42492;91,0916856919911;"Primates";"Cercopithecidae";"Cercopithecus";"lowei";1;0;0;0;"Imputed";"PHYLACINE 1.2";3950;"Reported";"Wilson, D. E., et al., editors. 2013. Handbook of the Mammals of the World: 3. Primates. First edition. Lynx Edicions, Barcelona.";NA;NA;"Occurs on mainland";"LC";"No";70;10;20;"Imputed 000 Species";"PHYLACINE 1.2";502867,898278724;"Cercopithecus lowei"
"668";"Cercopithecus_mitis";0,0002099865;4,1995200135;4,19973;2880;1261;1448;5,05542391354769;5,27030317192078;1,04246992379626e-05;1,30225798606234e-05;4,19973;91,0925986305951;"Primates";"Cercopithecidae";"Cercopithecus";"mitis";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";5000;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";90;10;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";4320938,97780237;"Cercopithecus mitis"
"669";"Cercopithecus_mona";0,000104271158550006;2,08531889984158;2,08542317100013;3850,5;2671,5;2956,5;3,70405598196281;2,95615939551353;4,75146660885088e-06;5,97330184725615e-06;2,08538;91,0918172663351;"Primates";"Cercopithecidae";"Cercopithecus";"mona";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";4208,3;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";70;10;20;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";838113,163797873;"Cercopithecus mona"
"670";"Cercopithecus_neglectus";0,00024153125;4,83038346875;4,830625;2736;1057;1216;5,60052288862035;5,74687193756103;1,2067317799447e-05;1,50659051853477e-05;4,830625;91,0931550557366;"Primates";"Cercopithecidae";"Cercopithecus";"neglectus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";5480;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";70;10;20;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";2989270,28421241;"Cercopithecus neglectus"
"671";"Cercopithecus_nictitans";0,0001970395;3,9405929605;3,94079;2979;1385;1587;4,90000800172024;4,85492716018677;8,75747302041022e-06;1,09605136848096e-05;3,94079;91,0923072611902;"Primates";"Cercopithecidae";"Cercopithecus";"nictitans";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";5803,3;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";70;10;20;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1843848,96035532;"Cercopithecus nictitans"
"672";"Cercopithecus_petaurista";6,28090175987352e-05;1,25611754295711;1,2561803519747;4529;3710;4010;2,80436624133851;1,79334929394722;2,31926894761116e-06;2,90699318297182e-06;1,22489;91,0905387137712;"Primates";"Cercopithecidae";"Cercopithecus";"petaurista";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";2775;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";80;0;20;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";866050,269257802;"Cercopithecus petaurista"
"673";"Cercopithecus_roloway";1,04007729;1,43629721;2,4763745;519;3440;2582;4,47529523206062;4,16854505081177;9,25951312287645e-06;1,15403026100156e-05;2,33361;91,0926857408678;"Primates";"Cercopithecidae";"Cercopithecus";"roloway";1;0;0;0;"Imputed";"PHYLACINE 1.2";4550;"Reported";"Wilson, D. E., et al., editors. 2013. Handbook of the Mammals of the World: 3. Primates. First edition. Lynx Edicions, Barcelona.";NA;NA;"Occurs on mainland";"EN";"No";60;0;40;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";251433,949139362;"Cercopithecus roloway"
"674";"Cercopithecus_sclateri";0,0613164937262116;1,16501338079802;1,22632987452423;1346;3869;4070;2,90136112784272;2,12478378760338;2,83924166630301e-06;3,55947479098935e-06;1,21389;91,0906225827474;"Primates";"Cercopithecidae";"Cercopithecus";"sclateri";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";3375;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"VU";"No";70;10;20;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";111748,421839716;"Cercopithecus sclateri"
"675";"Cerdocyon_thous";0,000125455082;2,508976184918;2,50910164;3593;2274;2557;5,3257768513231;6,00595550506592;3,98860385264796e-05;5,05625368899973e-05;2,23942;93,0841172363231;"Carnivora";"Canidae";"Cerdocyon";"thous";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";5240;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;50;50;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";10113232,1764943;"Cerdocyon thous"
"676";"Cerradomys_andersoni";0,0659051884655912;1,25219858084623;1,31810376931182;1327;3715;3928;2,86394149436666;2,50684146011061;1,90338865075793e-08;2,73975028966764e-08;1,317975;76,4344353292746;"Rodentia";"Cricetidae";"Cerradomys";"andersoni";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";37;"Reported";"Mammalogy Papers: University of Nebraska State Museum 144: 1-13 (2004)";NA;NA;"Occurs on mainland";"DD";"No";57;14;29;"Transformed 000 Genus";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";18624,7369732861;"Cerradomys scotti"
"677";"Cerradomys_maracajuensis";5,60668856091084e-05;1,12128164529656;1,12133771218217;4689;3938;4234;2,75265007901022;2,59919519132743;1,99519806420214e-08;2,90092806118374e-08;1,109685;76,4343198002058;"Rodentia";"Cricetidae";"Cerradomys";"maracajuensis";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";91,1;"Reported";"American Museum Novitates 3622: 1-46 (2008)";NA;NA;"Occurs on mainland";"LC";"No";57;14;29;"Transformed 000 Genus";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";1219920,27175024;"Cerradomys maracajuensis"
"678";"Cerradomys_marinhus";0,0614917831750007;1,16834388032501;1,22983566350001;1345;3861;4061;2,67619950126594;2,42701421502303;1,95417168501766e-08;2,84777479642725e-08;1,22983;76,4339047650489;"Rodentia";"Cricetidae";"Cerradomys";"marinhus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";130;"Reported";"American Museum Novitates 3622: 1-46 (2008)";NA;NA;"Occurs on mainland";"DD";"No";57;14;29;"Transformed 000 Genus";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";37249,4739465721;"Cerradomys marinhus"
"679";"Cerradomys_scotti";7,36600821850568e-05;1,47312798361895;1,47320164370114;4321;3394;3686;2,91380801270943;2,73376430474539;1,96997523265671e-08;2,85825749921044e-08;1,45134;76,4339626865032;"Rodentia";"Cricetidae";"Cerradomys";"scotti";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";92;"Reported";"American Museum Novitates 3622: 1-46 (2008)";NA;NA;"Occurs on mainland";"LC";"No";57;14;29;"Transformed 000 Genus";"Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.";1964909,75068168;"Cerradomys scotti"
"680";"Cerradomys_subflavus";8,10613890016845e-05;1,62114671864469;1,62122778003369;4190;3188;3482;2,962302645292;3,03223770592767;2,19826175639452e-08;3,14625565065132e-08;1,61254;76,434844514663;"Rodentia";"Cricetidae";"Cerradomys";"subflavus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";96,4;"Reported";"American Museum Novitates 3622: 1-46 (2008)";NA;NA;"Occurs on mainland";"LC";"No";80;0;20;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1909035,53976182;"Cerradomys subflavus"
"681";"Cervus_albirostris";0,181119500000003;3,44127050000005;3,62239000000006;1028;1631;1763;4,75932249724909;5,2449229796505;3,02802476870099e-06;4,14387485171898e-06;3,62239;91,6601045240953;"Cetartiodactyla";"Cervidae";"Cervus";"albirostris";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";125000;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"VU";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1080234,74445059;"Cervus albirostris"
"682";"Cervus_canadensis";6,64046968399825e-05;1,32802753210281;1,32809393679965;4464,5;3618,5;3917,5;3,46964596047365;2,75603555936575;1,5012574674572e-06;2,05282982355563e-06;1,32803;91,6596115023152;"Cetartiodactyla";"Cervidae";"Cervus";"canadensis";1;0;0;0;"Reported";"Geist, V. 1998. Deer of the World. Stackpole Books, Mechanicsburg.";131250;"Reported";"Wilson, D. E., et al. 2011. Handbook of the Mammals of the World: 2. Hoofed Mammals. First edition. Lynx Edicions, Barcelona.";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Reported Observed Species";"Stewart, K. M., et al. 2003. Niche partitioning among mule deer, elk, and cattle: do stable isotopes reflect dietary niche? Ecoscience 10:297-302.";13903366,1505581;"Cervus canadensis"
"683";"Cervus_elaphus";6,64046968399825e-05;1,32802753210281;1,32809393679965;4464,5;3618,5;3917,5;3,46964596047365;2,75603555936575;1,50124919501116e-06;2,05283010902577e-06;1,32803;91,6596115023152;"Cetartiodactyla";"Cervidae";"Cervus";"elaphus";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";131250;"Reported";"Wilson, D. E., et al. 2011. Handbook of the Mammals of the World: 2. Hoofed Mammals. First edition. Lynx Edicions, Barcelona.";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Reported 000 Species";"Davis, M. 2017. What North America's skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.";5363924,24830639;"Cervus elaphus"
"684";"Cervus_nippon";0,000124843750025022;2,49675015675041;2,49687500050044;3599;2283;2566;3,44388882118546;2,644254943223;1,44370507476433e-06;1,97745870848239e-06;1,21244;91,6595984059338;"Cetartiodactyla";"Cervidae";"Cervus";"nippon";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";53000;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";100;0;0;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1070922,37596395;"Cervus nippon"
"685";"Chacodelphys_formosa";0,0269127400000001;6,70127226000003;6,72818500000003;1525;682;767;9,29383426891121;10,571074375;0,000551079121290234;0,000566357031402799;6,728185;181,436477739667;"Didelphimorphia";"Didelphidae";"Chacodelphys";"formosa";1;0;0;0;"Reported";"IUCN. 2016. IUCN red list of threatened species. Version 2016-3.";10;"Reported";"Bulletin of the American Museum of Natural History 322 :1-177 (2009)";NA;NA;"Occurs on mainland";"NT";"No";0;0;100;"Transformed 000 Species";"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.";55874,2109198582;"Chacodelphys formosa"
"686";"Chaerephon_aloysiisabaudiae";0,000150658969189283;3,01302872481646;3,01317938378565;3312;1878;2126;6,11556786402412;5,80643235217243;2,65942718048205e-06;3,8418671943517e-06;2,9555;89,5818938483965;"Chiroptera";"Molossidae";"Chaerephon";"aloysiisabaudiae";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";25,7;"Assumed isometric based on forearm length";"Mammalian Species 574: 1-6 (1998)";"Chaerephon_russatus";"Mammalian Species 574: 1-6 (1998)";"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1471354,2208896;"Chaerephon aloysiisabaudiae"
"687";"Chaerephon_ansorgei";7,96888939146796e-05;1,59369818939968;1,59377787829359;4214;3218;3514;5,05054317006427;4,19699188839912;1,61989813735624e-06;2,35540593375007e-06;1,59374;89,5779775793174;"Chiroptera";"Molossidae";"Chaerephon";"ansorgei";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";16,1;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";6760779,52130284;"Chaerephon ansorgei"
"688";"Chaerephon_bemmeleni";8,01375385861005e-05;1,60267063418342;1,60275077172201;4210;3212;3507;5,62495244939456;4,21587516246527;1,48990290574258e-06;2,16338614596824e-06;1,60258;89,5784281075287;"Chiroptera";"Molossidae";"Chaerephon";"bemmeleni";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";19;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";1033672,90201738;"Chaerephon bemmeleni"
"689";"Chaerephon_bivittatus";8,57592619748147e-05;1,71509948023432;1,71518523949629;4109;3055;3357;5,37916212681288;4,25362018420726;1,62113710651196e-06;2,32304742104594e-06;1,715065;89,5779847393243;"Chiroptera";"Molossidae";"Chaerephon";"bivittatus";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";15;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";2607463,17626005;"Chaerephon bivittatus"
"690";"Chaerephon_bregullae";0,548184694676126;0,757016959314651;1,30520165399078;709;4516;3941;4,80025073083665;3,35701674636483;1,23876240895636e-06;1,80156537564746e-06;1,297545;89,5819375175785;"Chiroptera";"Molossidae";"Chaerephon";"bregullae";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";19,9;"Reported";"Flannery TM. Mammals of the South West Pacific & Moluccan Islands (1994)";NA;NA;"Occurs only on isolated islands";"EN";"No";0;0;100;"Estimated Expert Family";"Ferrarezzi, H., et al. 1996. Systematic Patterns and the Evolution of Feeding Habits in Chiroptera (Archonta: Mammalia). Journal of Comparative Biology 1:75-94.";74498,9478931443;"Chaerephon bregullae"
"691";"Chaerephon_chapini";0,000204259750621594;4,08499075268127;4,08519501243189;2927;1319;1513;7,40660740550635;7,50138916539013;3,24678023252938e-06;4,69797075341202e-06;4,0179;89,5807719164809;"Chiroptera";"Molossidae";"Chaerephon";"chapini";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";10;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";5028678,98278724;"Chaerephon chapini"
"692";"Chaerephon_gallagheri";1,13255938872099;1,56401058442422;2,69656997314521;481;3256;2379;6,37316621161674;6,12333470404685;2,81453907464961e-06;4,09496358776904e-06;2,59802;89,5810650351569;"Chiroptera";"Molossidae";"Chaerephon";"gallagheri";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";10,2;"Assumed isometric based on forearm length";"Mammalian species 574: 1-6 (1998)";"Chaerephon_russatus";"Mammalian species 574: 1-6 (1998)";"Occurs on mainland";"DD";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";9312,36848664304;"Chaerephon gallagheri"
"693";"Chaerephon_jobensis";0,000199865265120137;3,99710543713762;3,99730530240274;2956;1356;1557;7,12905242377783;7,35783559868336;2,89804000467821e-06;4,19913476062186e-06;3,660155;89,5803482507289;"Chiroptera";"Molossidae";"Chaerephon";"jobensis";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";16,9;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";3305890,81275828;"Chaerephon jobensis"
"694";"Chaerephon_jobimena";0,000634402;12,687405598;12,68804;2111;183;215;14,5349241323878;17,4317006488419;1,42840448784663e-05;2,0579773460075e-05;12,52804;89,6046070459612;"Chiroptera";"Molossidae";"Chaerephon";"jobimena";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";14,3;"Reported";"Garbutt N. Mammals of Madagascar a Complete Guide (2007)";NA;NA;"Occurs only on isolated islands";"LC";"No";0;0;100;"Transformed 000 Species";"Gainsbury, A. M., et al. 2018. An updated global data set for diet preferences in terrestrial mammals: testing the validity of extrapolation. Mammal Review, 1-8.";391119,476439007;"Chaerephon jobimena"
"695";"Chaerephon_johorensis";0,0812122303978768;1,54303237755966;1,62424460795754;1269;3287;3480;4,93828732982109;3,50273982031167;1,36679699656777e-06;1,98413217064995e-06;1,27621;89,5820227713943;"Chiroptera";"Molossidae";"Chaerephon";"johorensis";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";20;"Reported";"Francis CM. A Guide to the Mammals of Southeast Asia (2008)";NA;NA;"Occurs on mainland";"VU";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";167622,632759575;"Chaerephon johorensis"
"696";"Chaerephon_major";0,000158959239749957;3,17902583575939;3,17918479499914;3243;1771;2022;6,68344959121618;6,71274188671708;2,87760000536335e-06;4,16660802311223e-06;3,09581;89,5919413119533;"Chiroptera";"Molossidae";"Chaerephon";"major";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";14,8;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";2588838,43928676;"Chaerephon major"
"697";"Chaerephon_nigeriae";0,000324747372946625;6,49462271155955;6,4949474589325;2490;713;806;9,07225211082673;10,3968488710904;5,48095064163255e-06;7,92608249806335e-06;6,494755;89,5849651680672;"Chiroptera";"Molossidae";"Chaerephon";"nigeriae";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";19,8;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";5708481,88231218;"Chaerephon nigeriae"
"698";"Chaerephon_plicatus";0,00025230860504203;5,04591979223555;5,04617210084059;2693;998;1145;7,77998421758925;8,81528986707806;3,85935366128956e-06;5,58154872879079e-06;4,958155;89,58086712142;"Chiroptera";"Molossidae";"Chaerephon";"plicatus";0;0;0;1;"Taxonomic";"PHYLACINE 1.2";17,1;"Reported";"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).";NA;NA;"Occurs on mainland";"LC";"No";0;0;100;"Reported 000 Species";"Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.";4348876,0832623;"Chaerephon plicatus"
