"";"species";"HEDGE_rank";"HEDGE";"conservation_classification"
"2749";"Myotis_dominicensis";1347;0,061048519;"None"
"3093";"Nyctimene_minutus";1348;0,060727539;"2 Land/water management"
"2480";"Mico_chrysoleucos";1349;0,060644;"None"
"3908";"Pteropus_woodfordi";1350;0,059717966;"1 Land/water protection"
"3909";"Pteropus_woodfordi";1350;0,059717966;"2 Land/water management"
"3910";"Pteropus_woodfordi";1350;0,059717966;"3 Species management"
"3912";"Pteropus_woodfordi";1350;0,059717966;"4 Education & awareness"
"3913";"Pteropus_woodfordi";1350;0,059717966;"5 Law & policy"
"2500";"Microcebus_myoxinus";1351;0,059573044;"None"
"2950";"Niviventer_cameroni";1352;0,05936803;"2 Land/water management"
"3389";"Petrogale_lateralis";1353;0,058802209;"1 Land/water protection"
"3390";"Petrogale_lateralis";1353;0,058802209;"2 Land/water management"
"3393";"Petrogale_lateralis";1353;0,058802209;"3 Species management"
"4687";"Thylogale_browni";1354;0,058348401;"None"
"2744";"Myotis_dasycneme";1355;0,05748816;"3 Species management"
"2745";"Myotis_dasycneme";1355;0,05748816;"4 Education & awareness"
"2746";"Myotis_dasycneme";1355;0,05748816;"5 Law & policy"
"4397";"Sorex_leucogaster";1356;0,057274105;"None"
"4501";"Sylvilagus_dicei";1357;0,056195481;"None"
"1413";"Gazella_dorcas";1358;0,056000645;"1 Land/water protection"
"1414";"Gazella_dorcas";1358;0,056000645;"2 Land/water management"
"1415";"Gazella_dorcas";1358;0,056000645;"3 Species management"
"1419";"Gazella_dorcas";1358;0,056000645;"5 Law & policy"
"2797";"Mysateles_prehensilis";1359;0,055909035;"None"
"1411";"Gazella_cuvieri";1360;0,054860781;"1 Land/water protection"
"1412";"Gazella_cuvieri";1360;0,054860781;"2 Land/water management"
"4574";"Taeromys_punicans";1361;0,054800353;"None"
"490";"Brucepattersonius_misionensis";1362;0,054766017;"1 Land/water protection"
"1470";"Glauconycteris_machadoi";1363;0,054762523;"None"
