"";"species";"LEDGE_rank";"LEDGE";"conservation_classification";"introduced"
"841";"Gerbilliscus_nigricaudus";1236;4,285924826;"None";"no"
"993";"Ichneumia_albicauda";1237;4,280685955;"2 Land/water management";"no"
"857";"Gracilinanus_dryas";1238;4,280465977;"None";"no"
"1238";"Marmosops_incanus";1239;4,278650363;"None";"no"
"1805";"Peroryctes_broadbenti";1240;4,277746046;"1 Land/water protection";"no"
"1806";"Peroryctes_broadbenti";1240;4,277746046;"2 Land/water management";"no"
"1807";"Peroryctes_broadbenti";1240;4,277746046;"3 Species management";"no"
"2048";"Pseudochirops_cupreus";1241;4,271281612;"None";"no"
"1027";"Juscelinomys_guaporensis";1242;4,267200975;"None";"no"
"1700";"Oxymycterus_dasytrichus";1243;4,265271726;"None";"no"
"120";"Ammospermophilus_harrisii";1244;4,262710471;"None";"no"
"2101";"Raphicerus_campestris";1245;4,261511917;"2 Land/water management";"no"
"1907";"Planigale_gilesi";1246;4,261117151;"None";"no"
"935";"Hipposideros_gigas";1247;4,25816799;"2 Land/water management";"no"
"1261";"Megadontomys_cryophilus";1248;4,257773381;"None";"no"
"1454";"Myotis_velifer";1249;4,256031574;"1 Land/water protection";"no"
"1455";"Myotis_velifer";1249;4,256031574;"2 Land/water management";"no"
"2396";"Surdisorex_polulus";1250;4,254882567;"None";"no"
"2148";"Rhinolophus_thomasi";1251;4,247492619;"None";"no"
"868";"Graphiurus_surdus";1252;4,247143572;"None";"no"
"2397";"Surdisorex_schlitteri";1253;4,2429198;"None";"no"
"376";"Catopuma_temminckii";1254;4,235342952;"1 Land/water protection";"no"
"377";"Catopuma_temminckii";1254;4,235342952;"2 Land/water management";"no"
"378";"Catopuma_temminckii";1254;4,235342952;"4 Education & awareness";"no"
"380";"Catopuma_temminckii";1254;4,235342952;"5 Law & policy";"no"
"1927";"Plecotus_macrobullaris";1255;4,231770141;"2 Land/water management";"no"
"513";"Coendou_melanurus";1256;4,22282885;"None";"no"
"1297";"Microgale_principula";1257;4,222743106;"2 Land/water management";"no"
"2687";"Tylonycteris_pachypus";1258;4,219569274;"2 Land/water management";"no"
"165";"Apomys_datae";1259;4,204799753;"2 Land/water management";"no"
