"";"species";"order";"family";"IUCN_status_real";"IUCN_status_imputed";"GE";"ED";"ED_rank";"EDGE";"EDGE_rank";"HEDGE";"HEDGE_rank";"LEDGE";"LEDGE_rank"
"1600";"Falsistrellus_affinis";"Chiroptera";"Vespertilionidae";"LC";"LC";0;3,31809360007301;3942;1,46281400857676;4500;6,99661193661451e-05;4389;1,39925242120354;3504
"1601";"Falsistrellus_mackenziei";"Chiroptera";"Vespertilionidae";"NT";"NT";1;3,66867493280379;3649,5;2,23402247167988;2640;0,006152912658;1790;1,532075251842;3300
"1602";"Falsistrellus_mordax";"Chiroptera";"Vespertilionidae";"DD";"LC";0;3,20941376745037;4048;1,43732339036195;4563;5,99207250244494e-05;4600;1,19835457976396;3811
"1603";"Falsistrellus_petersi";"Chiroptera";"Vespertilionidae";"DD";"LC";0;3,18663087193814;4082;1,43189632263909;4589;6,29181107023326e-05;4524;1,25829929593595;3704
"1604";"Falsistrellus_tasmaniensis";"Chiroptera";"Vespertilionidae";"LC";"LC";0;3,66867493280379;3649,5;1,54087529111994;4321;7,6983158e-05;4257;1,539586176842;3291
"1605";"Felis_bieti";"Carnivora";"Felidae";"VU";"VU";2;3,27254490740056;3984,5;2,83850400787403;1615;0,0432757631444877;1414;0,822239499745266;4383
"1606";"Felis_chaus";"Carnivora";"Felidae";"LC";"LC";0;4,81986143674159;2837;1,76127645333993;3755;0,000163088250000923;3211;3,26160191176845;1730
"1607";"Felis_margarita";"Carnivora";"Felidae";"LC";"LC";0;3,65563753498594;3662;1,5380788583837;4330;8,19136372558808e-05;4179;1,63819083148036;3167
"1608";"Felis_nigripes";"Carnivora";"Felidae";"VU";"VU";2;4,43165114994505;3088;3,0785375280226;1349;0,140086000004375;1102;2,66163400008312;2129
"1609";"Felis_silvestris";"Carnivora";"Felidae";"LC";"LC";0;3,27254490740056;3984,5;1,45220964675414;4525;4,55852921307831e-05;4890;0,911660257323532;4257
"1610";"Felovia_vae";"Rodentia";"Ctenodactylidae";"DD";"NT";1;33,7782503343086;36;4,24213938155903;339;0,11058176;1171;27,53485824;23
"1611";"Feresa_attenuata";"Cetartiodactyla";"Delphinidae";"DD";"LC";0;4,02560658875381;3342;1,61454616083963;4111;0,000100369000000015;3905;2,00727963100029;2754
"1612";"Feroculus_feroculus";"Eulipotyphla";"Soricidae";"EN";"EN";3;8,95758906315525;1108;4,37777652204242;268;2,49330305708988;204;3,44313279312412;1628
"1613";"Fossa_fossana";"Carnivora";"Eupleridae";"VU";"VU";2;14,0463120667832;420;4,09742727688978;443;0,546020277754248;710;10,3743852773307;344
"1614";"Fukomys_anselli";"Rodentia";"Bathyergidae";"NT";"NT";1;5,63027699463114;2346,5;2,58479376286405;2023;0,00293385858310961;1920;0,730530787194293;4555
"1615";"Fukomys_bocagei";"Rodentia";"Bathyergidae";"LC";"LC";0;7,33434963458841;1627;2,12038548491465;2932;0,0001545364999875;3280;3,09057546325001;1829
"1616";"Fukomys_damarensis";"Rodentia";"Bathyergidae";"LC";"LC";0;6,28096768571783;2051;1,98526377723734;3216;9,70877039772651e-05;3946;1,94165699184132;2824
"1617";"Fukomys_darlingi";"Rodentia";"Bathyergidae";"LC";"LC";0;6,68427044365434;1883;2,03917543997336;3111;0,000130942000376588;3522;2,61870906553137;2171
"1618";"Fukomys_foxi";"Rodentia";"Bathyergidae";"DD";"LC";0;8,19467092717082;1335,5;2,21862406917996;2682,5;0,0001297858582375;3539,5;2,59558737889176;2193,5
"1619";"Fukomys_kafuensis";"Rodentia";"Bathyergidae";"VU";"VU";2;5,63027699463114;2346,5;3,277940943424;1150;0,0338005335378632;1470;0,6422101372194;4714
