"";"median_ED";"sd_ED";"median_ES";"sd_ES";"median_QEbased";"sd_QEbased";"median_2Hbased";"sd_2Hbased";"median_termBL";"sd_termBL";"median_meanD";"sd_meanD"
"Macropus_pearsoni";4,33758528418252;1,65433575138357;3,81489412870407;1,84841141944522;2,07202779012992e-05;1,82924886439461e-05;2,38200297066107e-05;2,09372729617575e-05;2,345545;1,73765909732994;180,604648351055;0,023984192996794
"Lagorchestes_conspicillatus";4,46565926696343;1,81551020302657;4,00532633104324;2,07501657952825;2,93073005359875e-05;2,28526434991588e-05;3,36434482122462e-05;2,6154970395956e-05;2,05109;2,08909176038877;180,607829482936;0,0248363502138902
"Lagorchestes_leporides";4,58806718480317;1,65800260346932;3,93286577693939;1,9343053527518;3,03567271825788e-05;2,10833567221748e-05;3,4921675500515e-05;2,415207630916e-05;2,09842;1,87081403472559;180,607427543303;0,0247463828036005
"Lagorchestes_hirsutus";4,44263638105512;1,86340704565678;4,02587198787689;2,06221847077671;2,90745964390602e-05;2,4457998199634e-05;3,33775600954557e-05;2,79373884821374e-05;2,157615;2,15934626122651;180,607608580861;0,0248308359175135
"Lagorchestes_asomatus";4,57750319367755;1,71603656417408;3,90723400466919;2,00371941313567;2,949721983496e-05;2,0742197841051e-05;3,38533673698155e-05;2,37599044296576e-05;1,925785;1,9564920933346;180,607507864003;0,0248025695564138
"Setonix_brachyurus";8,80770187221333;2,24317762974933;9,87081578735351;2,03426862078593;0,000108394540507713;5,35157810425262e-05;0,000123292915956556;6,05840362397359e-05;7,854295;2,34325125560059;180,616859942549;0,0254296738176412
"Thylogale_stigmatica";4,44299773235174;1,66149509593486;4,11202540077209;1,80365497378922;2,23442961037116e-05;1,68239901326668e-05;2,57166539897335e-05;1,92912990775048e-05;2,828035;1,77428366956231;180,601665338707;0,0250113801041237
"Thylogale_lanatus";3,68322387315623;1,2942543804948;2,92730435077667;1,43108716894087;1,49976228020482e-05;1,03295207961873e-05;1,72859558337282e-05;1,1887969295919e-05;1,74373;1,29463035458675;180,601587499571;0,0248132479794158
"Thylogale_brunii";2,90028931820437;0,855628601497995;1,2592739124012;0,838954314008083;6,60759771050058e-06;5,14076599186414e-06;7,59940386347431e-06;5,93144813569866e-06;0,440345;0,653563250640918;180,601346576059;0,0246624520683886
"Thylogale_calabyi";2,87857589706116;0,848538041075388;1,2961798862052;0,844800097841287;6,42646559106826e-06;5,12994507662238e-06;7,37625410837826e-06;5,91460212738784e-06;0,43359;0,663834965412178;180,601346569199;0,0246561978635203
"Thylogale_browni";3,12389538300261;1,08732639194241;2,12118744394302;1,18733364264379;1,00447940035592e-05;7,6115135768418e-06;1,15049076723243e-05;8,77256926722785e-06;1,118815;1,02087736043575;180,601390154347;0,024727383771057
"Thylogale_thetis";5,25358896207265;1,88925830656941;5,39591704647064;1,93152064190062;3,36916640266603e-05;2,16205619843477e-05;3,86440555284501e-05;2,47209334908895e-05;3,83072;2,04639746913847;180,601996783571;0,0252716124586066
"Thylogale_christenseni";3,22325140179305;1,59368167247785;2,08359144188881;1,91513477871626;1,05890199537004e-05;1,93060760713089e-05;1,22267106263882e-05;2,20397195625489e-05;0,96143;1,5945190914263;180,601826393415;0,0249123382949718
"Thylogale_billardierii";6,53233524514133;2,14308730448584;7,06185207183838;2,05865783860153;5,18738998255773e-05;2,89524944658008e-05;5,92247116299394e-05;3,29643321031997e-05;5,36038;2,39650769110239;180,603928226719;0,02551403453314
"Dendrolagus_goodfellowi";2,84065992439948;0,952900945729192;1,51924143373966;0,993006758243571;5,31740306381904e-06;4,47124299977447e-06;6,15104257607407e-06;5,16164503647524e-06;0,66695;0,837996501977198;180,593943868976;0,0231506717445996
"Dendrolagus_pulcherrimus";2,86780310114144;0,957750351128248;1,50702336032629;1,01922484245588;5,31746901361376e-06;4,46024441471594e-06;6,15103895081407e-06;5,15020544655326e-06;0,674005;0,848763797664473;180,593943868976;0,0231523280742942
"Dendrolagus_mbaiso";2,71527226477071;1,01357391494608;1,40664258250058;1,17036601950427;4,63314290326794e-06;5,62819492906011e-06;5,35145845706091e-06;6,48971804490332e-06;0,51912;0,941206805178406;180,593292836563;0,022828415476313
"Dendrolagus_matschiei";3,11703500042201;1,14079467621899;2,46620951977253;1,25069481522708;8,3199182820832e-06;5,8056191692704e-06;9,61298486180414e-06;6,69468890525825e-06;1,205685;1,16143517175558;180,594023393072;0,0231746654431823
"Dendrolagus_spadix";3,75814322265359;1,3483749171504;3,4654918214798;1,47873918059338;1,21695095838514e-05;8,21256877804968e-06;1,40768914554831e-05;9,45635636611459e-06;2,090945;1,43637556291903;180,594320259818;0,0232393937097902
"Dendrolagus_inustus";5,05665249345339;1,73363161353371;5,00578295936584;1,83852089705175;2,20701999821136e-05;1,84569006129746e-05;2,54245527618084e-05;2,11187619233413e-05;3,88462;1,85681043331898;180,595791468873;0,0238622912710906
"Dendrolagus_lumholtzi";3,7459264366976;1,35731242871251;3,1245702980423;1,44571618139813;1,07379973990921e-05;1,09025890234473e-05;1,23918055012292e-05;1,25046511685077e-05;1,55522;1,39876583823134;180,594900656834;0,0231840388780701
"Dendrolagus_bennettianus";3,54061791582643;1,37539824044353;3,10341665419579;1,4881101356122;1,05208234511181e-05;1,08565795485139e-05;1,21363629800343e-05;1,2452531854719e-05;1,43156;1,43509528927692;180,594900656834;0,0231851509325752
"Dendrolagus_notatus";2,91015172294437;1,03722150362465;1,95866472783089;1,25401435484014;5,71481572577587e-06;5,39345666879988e-06;6,58230911703983e-06;6,22467089253517e-06;1,00374;1,098131519023;180,593899801921;0,0228930646067856
"Dendrolagus_dorianus";2,76205855589421;0,901744451164346;1,62090280122042;1,09458032580895;4,4563477046163e-06;5,13228477155398e-06;5,12184396471012e-06;5,89707181636735e-06;0,816195;0,948546301236074;180,59333652118;0,0228219660491547
"Dendrolagus_mayri";2,721131822697;0,877413448918478;1,40724546426356;0,95249921373017;3,90633828669151e-06;4,24511626626471e-06;4,50239784811024e-06;4,8994377151585e-06;0,762455;0,844182328521343;180,592934499228;0,0228273238121086
"Dendrolagus_scottae";2,84104230114063;0,926482324912162;1,86759739628792;1,04447351369098;5,05461274707526e-06;4,82886869957735e-06;5,8375875247597e-06;5,5581953946055e-06;0,96894;0,962680993812235;180,593670077174;0,022819366714355
"Dendrolagus_stellarum";2,80321094965739;0,896224736200656;1,78716453495979;1,0176712067343;4,70928938883417e-06;4,57460941634984e-06;5,43784475273025e-06;5,27035805053869e-06;0,83795;0,916130769246819;180,593029271995;0,0227980109112322
"Dendrolagus_ursinus";3,95083623945224;1,38637294409491;3,8165859230423;1,46846287656784;1,29793766549469e-05;9,54400467626807e-06;1,50373982372495e-05;1,09609308064681e-05;2,479585;1,44855136494423;180,593749465786;0,0231347859961445
"Petrogale_xanthopus";4,6671520568345;1,65650725316427;4,5042200369072;1,73869149841739;1,84552768214189e-05;1,41202307021484e-05;2,12482583568197e-05;1,61812950197496e-05;3,40545;1,73076269678927;180,592976791288;0,02317926855288
"Petrogale_persephone";4,69160739701228;1,70136661525869;4,8047028884697;1,87713722188804;1,94399451724125e-05;1,93227702261536e-05;2,23536137678884e-05;2,20416958700153e-05;3,33383;1,85424873709889;180,59317090722;0,0232298809198656
