"";"species";"range_size"
"299";"Arielulus_societatis";55874,2109198582
"300";"Arielulus_torquatus";93123,6848664304
"301";"Ariteus_flavescens";37249,4739465721
"302";"Artibeus_amplus";2113907,64646797
"303";"Artibeus_anthonyi";0
"304";"Artibeus_concolor";7254335,05109493
"305";"Artibeus_fimbriatus";2020783,96160154
"306";"Artibeus_fraterculus";558742,109198582
"307";"Artibeus_hirsutus";502867,898278724
"308";"Artibeus_inopinatus";111748,421839716
"309";"Artibeus_jamaicensis";2812335,2829662
"310";"Artibeus_lituratus";16045210,902486
"311";"Artibeus_obscurus";12115391,4011226
"312";"Artibeus_planirostris";9209932,43328996
"313";"Artibeus_schwartzi";139685,527299646
"314";"Arvicanthis_abyssinicus";465618,424332152
"315";"Arvicanthis_ansorgei";987111,059584162
"316";"Arvicanthis_blicki";65186,5794065013
"317";"Arvicanthis_nairobae";260746,317626005
"318";"Arvicanthis_neumanni";1629664,48516253
"319";"Arvicanthis_niloticus";7794452,42332022
"320";"Arvicanthis_rufinus";1471354,2208896
"321";"Arvicola_amphibius";19202103,8194579
"322";"Arvicola_sapidus";1415480,00996974
"323";"Arvicola_scherman";1340981,0620766
"324";"Asellia_patrizii";391119,476439007
"325";"Asellia_tridens";18997231,7127518
"326";"Aselliscus_stoliczkanus";1778662,38094882
"327";"Aselliscus_tricuspidatus";1247857,37721017
"328";"Atelerix_albiventris";8399756,37495202
"329";"Atelerix_algirus";1536540,8002961
"330";"Atelerix_frontalis";1536540,8002961
"331";"Atelerix_sclateri";549429,740711939
"332";"Ateles_belzebuth";1666913,9591091
"333";"Ateles_chamek";2877521,8623727
"334";"Ateles_fusciceps";474930,792818795
"335";"Ateles_geoffroyi";1443417,11542967
"336";"Ateles_hybridus";372494,739465721
"337";"Ateles_marginatus";735677,1104448
"338";"Ateles_paniscus";1359605,79904988
"339";"Atelocynus_microtis";3333827,91821821
"340";"Atherurus_africanus";4386125,55720887
"341";"Atherurus_macrourus";3529387,65643771
"342";"Atilax_paludinosus";15812401,6903199
"343";"Atlantoxerus_getulus";521492,63525201
"344";"Auliscomys_boliviensis";344557,634005792
"345";"Auliscomys_pictus";549429,740711939
"346";"Auliscomys_sublimis";633241,057091726
"347";"Austronomus_australis";6872527,94314256
"348";"Austronomus_kuboriensis";344557,634005792
"349";"Avahi_betsileo";9312,36848664304
"350";"Avahi_cleesei";18624,7369732861
"351";"Avahi_laniger";176935,001246218
"352";"Avahi_meridionalis";37249,4739465721
"353";"Avahi_mooreorum";18624,7369732861
"354";"Avahi_occidentalis";37249,4739465721
"355";"Avahi_peyrierasi";46561,8424332152
"356";"Avahi_ramanantsoavanai";55874,2109198582
"357";"Avahi_unicolor";18624,7369732861
"358";"Axis_axis";2989270,28421241
"359";"Axis_calamianensis";27937,1054599291
"360";"Axis_kuhlii";9312,36848664304
"361";"Axis_porcinus";931236,848664304
