;species_phylacine;hedge;ledge;hed;hedge_rank;ledge_rank;hed_rank;ED;ES;QEbased;X2Hbased;termBL;meanD;Order.1.2;Family.1.2;Genus.1.2;Species.1.2;Terrestrial;Marine;Freshwater;Aerial;Life.Habit.Method;Life.Habit.Source;Mass.g;Mass.Method;Mass.Source;Mass.Comparison;Mass.Comparison.Source;Island.Endemicity;IUCN.Status.1.2;Added.IUCN.Status.1.2;Diet.Plant;Diet.Vertebrate;Diet.Invertebrate;Diet.Method;Diet.Source;range_size;species_currentIUCN.x;species_currentIUCN.y;code;title;conservation_classification;Imputed.Status;introduced
2695;Urocyon_littoralis;0,03000606;7,471508886;7,501514946;1506;568;648;11,84386613;17,72156936;0,000218102;0,000272761;7,501075;93,11319288;Carnivora;Canidae;Urocyon;littoralis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;1896;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;NT;No;60;30;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;46561,84243;Urocyon littoralis;Urocyon littoralis;2.2;Invasive/problematic species control;2 Land/water management;NT;no
2696;Urocyon_littoralis;0,03000606;7,471508886;7,501514946;1506;568;648;11,84386613;17,72156936;0,000218102;0,000272761;7,501075;93,11319288;Carnivora;Canidae;Urocyon;littoralis;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;1896;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;NT;No;60;30;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;46561,84243;Urocyon littoralis;Urocyon littoralis;3.2;Species recovery;3 Species management;NT;no
2697;Urogale_everetti;0,000665699;13,3133043;13,31397;2090;159;186;17,09009386;23,95348602;0,000672033;0,000809842;13,31397;94,19126218;Scandentia;Tupaiidae;Urogale;everetti;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;350;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;LC;No;20;20;60;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;242121,5807;Tupaia everetti;Tupaia everetti;2.1;Site/area management;2 Land/water management;LC;no
2698;Urotrichus_talpoides;0,000568306;11,36554666;11,36611496;2181,5;275,5;331,5;21,89242644;25,51589676;0,000549967;0,000696169;11,36531;94,83328352;Eulipotyphla;Talpidae;Urotrichus;talpoides;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;45;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs only on isolated islands;LC;No;0;0;100;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;661178,1626;Urotrichus talpoides;Urotrichus talpoides;none;none;None;LC;no
2699;Vampyrum_spectrum;0,042716384;10,6363796;10,67909599;1417;329;381;15,68939366;17,03235968;1,58E-05;2,22E-05;10,678655;89,5150614;Chiroptera;Phyllostomidae;Vampyrum;spectrum;0;0;0;1;Taxonomic;PHYLACINE 1.2;167,7;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;NT;No;10;80;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;6583844,52;Vampyrum spectrum;Vampyrum spectrum;1.1;Site/area protection;1 Land/water protection;NT;no
2700;Vampyrum_spectrum;0,042716384;10,6363796;10,67909599;1417;329;381;15,68939366;17,03235968;1,58E-05;2,22E-05;10,678655;89,5150614;Chiroptera;Phyllostomidae;Vampyrum;spectrum;0;0;0;1;Taxonomic;PHYLACINE 1.2;167,7;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;NT;No;10;80;10;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;6583844,52;Vampyrum spectrum;Vampyrum spectrum;2.1;Site/area management;2 Land/water management;NT;no
2701;Vandeleuria_nolthenii;3,325933033;4,592955141;7,918888175;144;1133;593;9,615389032;11,44061792;1,36E-06;1,91E-06;7,9188;76,50267319;Rodentia;Muridae;Vandeleuria;nolthenii;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;56,6;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on large land bridge islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;9312,368487;Vandeleuria nolthenii;Vandeleuria nolthenii;1.1;Site/area protection;1 Land/water protection;EN;no
2702;Vandeleuria_nolthenii;3,325933033;4,592955141;7,918888175;144;1133;593;9,615389032;11,44061792;1,36E-06;1,91E-06;7,9188;76,50267319;Rodentia;Muridae;Vandeleuria;nolthenii;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;56,6;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on large land bridge islands;EN;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;9312,368487;Vandeleuria nolthenii;Vandeleuria nolthenii;2.1;Site/area management;2 Land/water management;EN;no
2703;Vandeleuria_oleracea;0,000341073;6,821109741;6,821450814;2451;657;746;8,043451102;7,883794061;9,57E-07;1,36E-06;4,31525;76,50237661;Rodentia;Muridae;Vandeleuria;oleracea;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;10;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;5019366,614;Vandeleuria oleracea;Vandeleuria oleracea;none;none;None;LC;no
2704;Vernaya_fulva;0,000542602;10,85149182;10,85203442;2215;317;371;12,55757571;13,76798569;2,48E-06;3,48E-06;10,851885;76,60382283;Rodentia;Muridae;Vernaya;fulva;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;24,9;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;80;1;19;Imputed 000 Species;PHYLACINE 1.2;549429,7407;Vernaya fulva;Vernaya fulva;none;none;None;LC;no
2705;Vespertilio_murinus;0,000293866;5,877032954;5,87732682;2564,5;813,5;934,5;9,490996494;9,878842519;1,52E-06;2,23E-06;5,877025;88,43318872;Chiroptera;Vespertilionidae;Vespertilio;murinus;0;0;0;1;Taxonomic;PHYLACINE 1.2;18,7;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;0;0;100;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;18429177,24;Vespertilio murinus;Vespertilio murinus;none;none;None;LC;no
2706;Vespertilio_sinensis;0,000293866;5,877032954;5,87732682;2564,5;813,5;934,5;9,490996494;9,878842519;1,52E-06;2,23E-06;5,877025;88,43318872;Chiroptera;Vespertilionidae;Vespertilio;sinensis;0;0;0;1;Taxonomic;PHYLACINE 1.2;24,5;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;0;0;100;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;2849584,757;Vespertilio sinensis;Vespertilio sinensis;none;none;None;LC;no
2707;Vicugna_vicugna;0,00021767;4,353172755;4,353390425;2845,5;1212,5;1385,5;14,98354975;13,37637182;0,000288416;0,000364458;4,3504;93,85848401;Cetartiodactyla;Camelidae;Vicugna;vicugna;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;47499,6;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;1275794,483;Vicugna vicugna;Vicugna vicugna;1.1;Site/area protection;1 Land/water protection;LC;yes
2708;Vicugna_vicugna;0,00021767;4,353172755;4,353390425;2845,5;1212,5;1385,5;14,98354975;13,37637182;0,000288416;0,000364458;4,3504;93,85848401;Cetartiodactyla;Camelidae;Vicugna;vicugna;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;47499,6;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;1275794,483;Vicugna vicugna;Vicugna vicugna;1.2;Resource & habitat protection;1 Land/water protection;LC;yes
2709;Vicugna_vicugna;0,00021767;4,353172755;4,353390425;2845,5;1212,5;1385,5;14,98354975;13,37637182;0,000288416;0,000364458;4,3504;93,85848401;Cetartiodactyla;Camelidae;Vicugna;vicugna;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;47499,6;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;1275794,483;Vicugna vicugna;Vicugna vicugna;2.1;Site/area management;2 Land/water management;LC;yes
2710;Vicugna_vicugna;0,00021767;4,353172755;4,353390425;2845,5;1212,5;1385,5;14,98354975;13,37637182;0,000288416;0,000364458;4,3504;93,85848401;Cetartiodactyla;Camelidae;Vicugna;vicugna;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;47499,6;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;1275794,483;Vicugna vicugna;Vicugna vicugna;2.3;Habitat & natural process restoration;2 Land/water management;LC;yes
2711;Vicugna_vicugna;0,00021767;4,353172755;4,353390425;2845,5;1212,5;1385,5;14,98354975;13,37637182;0,000288416;0,000364458;4,3504;93,85848401;Cetartiodactyla;Camelidae;Vicugna;vicugna;1;0;0;0;Reported;IUCN. 2016. IUCN red list of threatened species. Version 2016-3.;47499,6;Reported;Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).;NA;NA;Occurs on mainland;LC;No;100;0;0;Reported 000 Species;Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.;1275794,483;Vicugna vicugna;Vicugna vicugna;3.1;Species management;3 Species management;LC;yes
